datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,MED_swe,SDF_swe,SLT_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1951-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-01,893858.1379999997,1606449.7780000002,498556.57600000006,764213.4589999999,501090.17199999996,1671372.9259999995,391610.3410000001,3403799.8429999985,287656.02900000004,2789796.839999999,1220202.0679999997,22.90412579005919,704.1995507587334,100.63451770816836,146.35505659382306,90.64815136919907,26.885422145113882,58.948468320903395,101.99162251539293,161.17283053046995,272.4976346211384,340.746359457249,223.08796143578894,102.44627325529675,102.44627325529675,241.1067358712442,36.47223985312716,59.08614098486621,146.53362900634784,97.86492791947452,30.382115910473182,35.98583992328482,50.15911455674402,14.245094512273871,15.512813774950473,16.03791395560671,20.980075835679962,22.806446042137235,23.248138970488856,7.510113175612896,8.219181494886046,8.827688917537706,3041.784201593716,731.1710785424556,2309.196382264985,19893.825749402844,15816.001617659149,4706.727511544691,3110.515004315636,4077.8241317436937,52.291141278099346,75.1466314218172
