datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,SHA_out,FOL_out,ORO_out,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1951-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-10-01,225152.45999999988,377908.1599999993,126453.93999999993,210702.76999999993,114177.73999999999,405461.19999999984,79518.91999999988,1090621.1900000009,49863.19000000003,945851.2500000002,326173.8599999996,59.21403503417969,90.4048309326172,224.2039794921875,107.84242248535156,21.39695895062323,23.582611507748425,30.82274966194109,13.212622931054055,14.660068293005391,15.151557370613181,19.452814180342877,21.229016446024993,21.733060098085247,6.678770506652734,7.631311469217711,8.047377043459667,2423.832143287699,597.8847755281494,1885.9422882648485,3243.000447838714,1437.7052945001853,2077.905489106814,6455.154916272366,4074.987920334241,3478.8530440906625,2596.354572756668,2380.1669959381306,699.9280514818932,67.84362959052423
