datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,SHA_out,FOL_out,ORO_out,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1952-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-02-01,104031.84700764818,248656.68632222145,66678.34753056838,73622.46226662336,72594.64593140944,217313.4721128269,70233.53435519933,503044.34170098003,70283.48611452169,369088.5987238062,206365.01062416538,79.99293515478817,124.61306290584425,309.04039651337627,131.85663651038027,3.2918743846683274,4.800906506290574,6.887991392357854,1.7720450443768403,1.659346637915585,1.5545944604503423,2.0828859130213746,1.8758228825058174,1.6722985220675772,1.817606105834722,1.8236672213934404,1.7951344892919199,571.6871850795749,45.02271718345747,330.2410674600715,651.736754007919,345.6617795334853,129.95668762271012,1859.7599465227447,1830.3853044205246,71.34557976029643,34.09963675130622,115.10311924330095,0.0,7.761862381707541
1972-02-01,105247.55341337214,255825.73956936525,67569.67945757387,78203.83117799996,76729.73756002821,233003.21510957042,71830.68389289279,494000.3770324229,70769.48461253651,361106.76213513466,206004.56798472043,83.28087727503204,128.97855823028686,319.8668246931308,132.97652555393336,3.239170810221395,4.732151332872634,6.830416036821629,1.788052713884193,1.6635547631885894,1.5344110866188538,2.1498382101158153,1.9320857516788132,1.7043384075283965,1.784269038204487,1.7779341873236065,1.7293784871367641,571.6875057566212,45.047951106719445,363.5554699444025,647.5358152374343,360.63270110812005,253.61519030467136,1931.4620092556752,1886.3717902288527,71.34557976029643,34.09963675130622,127.2958415788244,0.0,8.183405509938277
1973-02-01,102738.70874122913,249077.2167838845,66618.25098947104,77697.52676365778,74842.3959680773,229054.14153007133,69441.3204600317,501197.22508494195,69019.73085854256,365248.4053932001,202907.1889771811,87.79059901038782,132.38336490027245,328.31074467291324,133.16788705179198,3.161121885979225,4.608816045137178,6.633982629099564,1.8001126895653832,1.668402637606459,1.540018885494415,2.168434904976084,1.9367523218928613,1.7128564699200928,1.7833628426916799,1.774066863471341,1.7168860260844245,570.2107907705579,58.643482293893534,363.4755025063638,638.3808591306528,351.1768762112524,252.33513075897073,1909.7996762420803,1862.7364847490646,71.5883158021462,34.21518691938172,130.53568734243933,0.0,8.123068437119391
1974-02-01,102502.37111583335,247314.38043751882,66620.5001697946,77481.44563772692,74636.62387944128,223929.55052264917,69374.27327098633,497385.5592993507,68802.02083266959,361544.2428890513,201507.59970501577,87.46579137555786,131.60025316231943,326.3686278402041,133.16712337413338,3.1295263187616316,4.615326690273644,6.634014967705137,1.7682312767734083,1.6461728039199248,1.516188545295879,2.1572652332422986,1.9262299490768044,1.704568426716923,1.7284798076296788,1.7410336140286078,1.6763792165473865,560.5516186293133,58.70044255493306,372.3091615999187,599.974443554613,347.7410469855928,272.9138463332582,2223.2585252122417,2160.895076910907,71.5883158021462,34.21518691938172,137.19564186063135,0.0,8.637992179487018
1975-02-01,102759.2093223756,247046.4513742781,66746.85475529046,77333.57935809858,74718.12959716498,223832.43620840803,69478.49506008702,494331.9017143371,68939.97123936421,358597.78248878353,201868.98705770914,83.66435719407623,129.09303843428742,320.15073478089704,130.03929131811776,3.085159207017563,4.62676105035308,6.65519045156865,1.7662152247067378,1.6563538576883852,1.5278794698987819,2.170277632866153,1.9479761190421772,1.7182086796988234,1.685239710225791,1.7204079516082271,1.666034793197707,562.4321088991768,59.46984610230764,383.5181202493133,599.974443554613,345.1798947416269,273.4963469880403,2213.101327777294,2151.2849715214597,71.5883158021462,34.21518691938172,138.19600875473986,0.0,8.651660112004896
1976-02-01,103383.53896187947,245839.48945335494,68919.86713380917,79200.86656457554,74806.27538546751,211586.76180765245,69345.54003261248,496276.92846151337,69714.64640357369,357615.1506402694,199532.58128964683,102.63563673046474,149.32702551179545,370.33102343916363,148.56980654095207,3.0545735091884456,4.527366590718964,6.5488537341586275,1.756589444302912,1.669496880700382,1.527809491862676,2.2021042972594533,1.986471043695969,1.7485116561798908,1.6083650001779377,1.6820962248532751,1.6121282976618285,574.6385710766484,66.03714880801193,386.23470124425694,632.9530862072352,344.02357365421875,272.27290065474006,2282.1916911929657,2218.9913128898565,71.5883158021462,34.21518691938172,138.82065374538598,0.0,8.975972789189992
1977-02-01,101223.2726088132,238122.02226082305,68420.83008198306,78839.75861778785,73485.6610748339,204010.13041934272,67365.1164615308,476347.78809852607,68342.52746940513,343003.2845591383,193247.82112204732,101.85964144865548,145.865500378953,361.7464407589331,144.54114018212738,3.0523404339652163,4.491625296322064,6.483266520413526,1.7685595735348798,1.6770725705778649,1.5293054573313278,2.202460221515627,1.9723698550343793,1.7357908223644403,1.6254296418853682,1.7025178078563565,1.6247680343825965,566.522797866658,66.2879797175831,414.4228267714183,623.8739846213372,338.6219944426848,274.84703423174307,2176.3830392838418,2127.472399436641,67.73520158919682,32.88629345542945,127.18126014019644,0.0,7.981832091137198
1978-02-01,104176.9227998158,245680.78816624303,70018.43641212607,80079.18217080463,75404.34632422347,212138.98928400324,69418.29488386703,503330.8690746941,70236.01699408423,362926.23032347223,199781.3423145597,103.57633284292109,149.11066857932653,369.7944579992695,147.00617624756677,3.1905832388478004,4.703438638835239,6.701052842610695,1.735321030809965,1.642933336218602,1.4993364276055015,2.1526012034315154,1.9174483966681264,1.6773069779395213,1.6300532878223928,1.719966059762992,1.664261817024464,680.8153009156485,65.08233798744907,453.35238623612224,626.841341566228,345.1647749294277,274.84703423174307,2275.598229026044,2216.4954630187694,75.53505131529424,35.61579476437069,132.5292460824901,0.0,8.42529060401309
1979-02-01,103115.24421140978,240449.08789152157,70496.73871800554,80067.55318228781,74640.25579069782,207138.97620906748,68180.6376969765,491667.76699114306,70551.12524952515,353883.06669703376,195588.3024370191,108.8155070424556,166.3099947153419,412.44878945136975,161.3917721774024,3.1829357126455355,4.669468312663704,6.62729643541878,1.7789871848316854,1.7285689458266034,1.6339708698163171,2.2046638304877675,2.0102497236392325,1.857490558843038,1.6572399745922313,1.7806925795690702,1.7317324055903613,676.9531623395202,71.18173106417949,450.5329391657971,617.3443090126004,343.86926460380874,274.84703423174307,2301.0112593042663,2237.315637973471,75.53505131529424,35.61579476437069,136.19649414899334,0.0,8.609472337777598
1980-02-01,100774.20720399146,234488.143053824,68802.16699324295,79736.06459653628,73595.3662303245,201542.85650168615,66859.60657875908,437524.5830429704,68553.69867307584,316173.6918635047,186777.1400942738,111.99041006651474,171.2715750828772,424.75350865067,159.78413123307055,2.969070911187156,4.563837424067376,6.508141828338726,1.8001939752867908,1.7454383319126898,1.6372269061714944,2.239547753840597,2.0274549588524247,1.8610476589005387,1.653080142675454,1.7756629352750581,1.726614547602046,691.0269633312201,72.36470997163292,486.0676085660524,544.6904026791315,332.37547000910513,280.8181105293274,2223.1443059866288,2150.3081409514834,75.53505131529424,35.61579476437069,135.9861555289866,0.0,8.610228907750063
1981-02-01,102211.2882969455,237915.39164734524,69769.94795198529,80805.32790657015,74631.46885828966,202388.53365068242,67753.1964941068,441558.3687704151,69732.62179849116,319151.10544118215,188022.69459463985,111.09561720879441,169.9150593147747,421.3893490396567,158.9005676786811,2.979815538624327,4.548638481195029,6.496905022233446,1.7666013657999602,1.7223914839913252,1.632478507168807,2.2021565513472465,1.9922027912302829,1.8563552815818152,1.6462538045070076,1.7829024945050447,1.749155215859567,690.8292790347076,71.15666547818988,481.16535850134466,544.9536570195351,335.90965782443027,281.77022509460926,2267.02756442092,2192.7831743699394,75.53505131529424,35.61579476437069,135.69384672404388,0.0,8.441152746606646
1982-02-01,103377.92758618727,239609.81743034656,70767.35234212836,82267.53761977256,75140.80250673136,200271.6030219108,67927.48354777649,439884.1323371638,70505.26056110991,315463.8468754691,191281.04612010202,111.32684009785153,168.47385006063695,417.81515218677464,156.40822766551918,2.9496373130246503,4.539214077251246,6.409800162613263,1.8101882062223424,1.7321135184860268,1.6430577007282188,2.2810684913248997,2.0827979328743047,1.9271119809134114,1.591229839013527,1.6572571651892458,1.642147961247219,710.9281307372594,67.53644255577315,482.7348516550828,581.0544671257614,343.02025306037655,279.7698289654966,2271.166618176062,2193.1882694776027,75.53505131529424,35.61579476437069,133.07980315803312,0.0,8.510376980838878
1983-02-01,101939.5853417301,233107.55865504686,70562.48369760434,82157.88263326777,73877.12751985648,192667.8531582245,66408.47822296503,421438.28425952507,69420.12503381514,300435.2329984115,185449.50605237935,110.83860157573152,166.3333953379394,412.50682468246293,153.40133479511616,2.97875818991306,4.582713267115344,6.453308654527703,1.8487542760919145,1.7898711317995677,1.6966104280356895,2.2342121684256657,2.0507043284738247,1.8731221063468295,1.6762551270266168,1.7436875112468584,1.7253047935192183,703.8486767621984,68.10332634350966,503.5944762181868,569.5221949665312,335.8620290620569,278.05882495309373,2168.351153094857,2101.307891023025,46.62223283712321,25.25736705286239,124.53926199948347,0.0,7.64929880112417
1984-02-01,101855.34643842002,232228.5163211533,70551.76684072429,82166.76987486526,73590.31748113861,177995.66842425306,66509.93466700755,424225.8985629949,68980.26576378764,301274.8852075336,186553.55799211244,118.33418868271514,184.609716153904,457.8321011220675,182.45872017989737,2.9489314901920696,4.550867242694807,6.428799372661405,2.0053587786617255,1.9351576813490663,1.8246988688104835,2.485965497396284,2.268183716644396,2.0662641400723527,1.6796913820103978,1.7653355251459948,1.7574519307641545,703.7980850633935,74.95411515435616,502.54074977805203,578.676856136665,343.1936416009916,279.412028224441,2204.0953254181286,2142.895622504811,46.62223283712321,25.25736705286239,120.23221781163764,0.0,7.549106964918574
1985-02-01,100215.9197891589,230111.20124175947,69914.18045651431,81174.64327402525,72549.0651949369,176216.00865803298,65726.91659719567,419112.17152909096,68262.94138266964,297814.66915509757,187205.88954379497,116.4639297015531,180.20565755977566,446.91003502152654,177.04173907553073,3.0323888833455555,4.640623984812326,6.541792017483777,2.0453867565433947,1.9622052765005191,1.8489845037156472,2.55598335432423,2.331972604526961,2.1427466483903443,1.6927886199300688,1.7677228059145524,1.7545357600265228,620.5959882165882,75.99144911226064,494.2699433822929,573.4346472592053,343.45029938725224,277.82044360765997,2127.3703346885545,2069.774184842763,46.62223283712321,25.25736705286239,119.80918024685762,0.0,7.223926266441644
1986-02-01,101569.34369907495,234152.1112693882,70686.1633110968,82197.22135727268,73631.67623913156,181662.56444435404,66701.1257341162,428704.89936718537,69087.13116929911,305508.3817624386,189735.6886346494,115.32989193761071,178.4074471593567,442.45047381074573,174.4339249008251,3.051729412776995,4.615284824287418,6.502280466460034,1.9972237004933533,1.913675088473495,1.7900991503527692,2.4918068614937416,2.269458013140551,2.0833020343885305,1.6649389461870499,1.739347384789873,1.7045789795917043,660.7846106301905,74.76652699751429,493.5328104591158,573.4346472592053,348.34102807003325,277.82044360765997,2189.292490263179,2123.90597270473,46.62223283712321,25.25736705286239,119.96007440734404,0.0,7.463555498068453
1987-02-01,103990.62683540722,241246.46544048845,71651.0374258928,83116.39865218455,74890.32807130576,187924.09964280622,68382.33888345835,456886.9768724367,70333.96557904249,327290.9365019237,196095.31286881192,116.18350838066779,180.72601313804023,448.2005170399579,178.07632678624898,3.195859052220891,4.8045117722177295,6.743136595736288,2.038711712557529,1.9235282312881827,1.777987307402209,2.6249424531642798,2.3921486592917796,2.175629199010401,1.632372139229605,1.6866775596439134,1.6411911155028553,820.2593136609574,74.19667824946262,609.1643531476504,575.6916009589333,352.2812348460356,277.75892997364946,2267.373875272592,2180.600839021273,57.37170807436593,28.900371327270115,145.2398452924138,2.3360227341623694,8.834554964190078
1988-02-01,66692.1136345553,160166.00840346533,49074.2659411309,57643.022209681665,49767.67124830885,164693.19359905098,41854.79823775925,342142.7932683661,46251.5694096854,250681.13421800314,127422.27994854646,116.1637255977658,182.5865231950242,452.8145818764332,178.9410249788058,2.306651018858551,3.532945417245093,4.753405205617565,2.044010341178751,1.9246952291368535,1.766754167482759,2.6156584691100364,2.3978010114868296,2.1883472561978876,1.6754469812176962,1.7167373437449844,1.6317820593081314,831.1123137003428,76.49841401654372,637.6920633212005,497.0227694489812,248.48314446544376,278.8194244287282,2143.1862721463353,2035.4411329514332,57.37170807436593,28.900371327270115,141.91620729645527,2.3360227341623694,8.805464174695352
1989-02-01,75900.55283057452,174674.26128970578,56503.6834026719,67434.71396599495,54338.7338473068,169427.960260779,47252.150851716826,349614.1266296108,51563.94670724836,257618.12888648023,141657.81999931228,116.15764268345144,182.52630586453796,452.66524341732315,177.67770459407419,2.418973190719387,3.8559076874820164,5.208301545654275,1.9870772716734764,1.8816404956778843,1.7445274286349974,2.4667058881121138,2.280772320717224,2.1131700425969884,1.6735644127641858,1.7208754671427198,1.6478837934846806,825.9422302632228,75.83158662322047,644.2949489680174,501.2810341265162,277.3665553460624,280.70200457634724,2147.9061856656062,2040.612225805921,57.37170807436593,28.900371327270115,141.75466950319807,2.3360227341623694,8.74427262627907
1990-02-01,78598.06844514121,184701.56392657707,57774.642143960285,68824.9352520553,56349.10185085105,177594.65466254775,49840.732412770965,372839.9508715956,53511.8343800747,275660.7528522261,149896.43289441252,116.43606235688547,182.62862221759636,452.91898812621105,179.81261191223814,2.475271685302156,3.9108396576309987,5.2901673833965805,1.9614843343167878,1.8573937266808258,1.719657573654407,2.453228220098574,2.2901560850323577,2.121528718739438,1.6554312626121959,1.6768016740158307,1.6069564225297244,829.5759900742656,74.4416485388801,640.592615573909,500.6072754484016,285.4079946619116,280.89766398234815,2199.4160279004072,2077.6818118909737,61.64535022841329,26.529997299421513,159.08404304926196,2.336022734162369,9.589494419818143
1991-02-01,78967.89935655241,184305.43161287764,58059.93545444284,68445.08319899802,56130.85484973142,177738.6567360352,49793.478545636506,372866.2227836428,53513.48911815229,275542.25608398323,149616.86056762858,115.06063132709107,181.43579093913488,449.9607657177831,181.84932006622049,2.4613656210312653,3.9052169645158243,5.284166638233508,1.9026218820206091,1.8382198034601482,1.7259135778118586,2.438864750906186,2.2824944799410547,2.128426895947289,1.524428318617523,1.6414676256078293,1.6091000218903178,817.0954114012163,74.43241931325636,644.4594466992902,501.8718190707624,284.837099831979,281.70139231299504,2200.423796642795,2078.2893991380133,61.64535022841329,26.529997299421513,155.95198844974732,2.336022734162369,9.558095422348226
1992-02-01,73642.60886130035,162649.54829089856,56015.33855773499,63456.33018999531,47543.984104703944,146140.4757670076,44375.80450391652,373275.3637532062,51132.387282269694,275821.163058086,143504.7053863452,112.98627976514472,177.6377902033128,440.5417242372984,180.21501460172573,2.458719861289937,3.923039907497152,5.323179701224778,1.8923484410506282,1.8028504449555192,1.6794061346159121,2.3982482868331534,2.2178060222496248,2.0553838831442643,1.5538192323935136,1.6521363612316806,1.6137826458692275,815.5677639634762,74.84339547297301,629.5414944791977,506.7323229910534,252.92268295151155,195.96902914341266,2133.4053814500435,2021.1971264678737,61.64535022841329,26.529997299421513,146.19018296601453,2.336022734162369,9.370773569669998
