datetime,TLG_fnf,FOL_fnf,MRC_fnf,MIL_fnf,NML_fnf,ORO_fnf,MKM_fnf,BND_fnf,NHG_fnf,SHA_fnf,YRS_fnf,BND_swe,ORO_swe,YRS_swe,FOL_swe,SHA_pr,ORO_pr,FOL_pr,SHA_tas,ORO_tas,FOL_tas,SHA_tasmax,ORO_tasmax,FOL_tasmax,SHA_tasmin,ORO_tasmin,FOL_tasmin,SHA_storage,FOL_storage,ORO_storage,SHA_out,FOL_out,ORO_out,DEL_in,DEL_out,Total_DEL_SODD,Total_SODD_from_RES,Total_pumped_from_DEL,Total_Shortage,DEL_X2
1952-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-07-01,29462.702,30131.430999999993,30468.718000000004,49183.96,14558.622999999998,14556.194999999998,3521.264,51388.447,1145.9180000000001,47942.59100000001,3976.0800000000004,6.213277670741081,0.0,0.0,8.187060758471489,0.15317827451416405,0.12176775108588345,0.06887794466360901,24.669322542990407,25.18296773356776,25.200451604781613,33.60938699783817,34.76532253142326,35.07109677714686,15.729258054302585,15.600612926483155,15.329806463180052,3471.1640641147314,820.670156548357,2660.523026567843,572.7954448883493,174.07451307817482,379.71415188865774,976.2954823315155,455.03415061528574,578.8129752620071,478.82977376720027,521.2613317162301,18.084971790226895,77.01654000004925
1962-07-01,32147.731000000007,32592.29599999999,32138.181000000004,52826.645,15694.499,15162.064999999997,3848.2399999999993,52863.693999999996,1236.066,49326.47600000001,4219.275000000001,6.3227290362119675,0.0,0.0,8.252636513113975,0.3224509666551853,0.215463401517502,0.223757941251597,24.53346772347727,24.99811288156817,25.0383548367408,33.271128974422325,34.371677361765215,34.712419343763784,15.79580642331031,15.624548410600232,15.364290338946926,3523.1400912279946,834.2392293732725,2716.9910862998677,562.4123778417954,174.13437884642772,364.9428067499051,1018.9179530440048,485.5473831491292,573.3300175068188,484.9337560858323,533.3705698948759,20.48206032218877,76.25371628412482
1963-07-01,32267.533000000007,32609.04499999999,32207.333000000002,52950.681,15699.773000000001,15240.436999999996,3850.9969999999994,53457.621,1233.183,49920.318000000014,4229.562,6.254798483848572,0.0,0.0,8.252636513113975,0.4311225799023191,0.26110862371921256,0.2518229437182072,24.49780643217025,24.986629012323192,25.010499997292797,33.0279354587678,34.1437418353173,34.533580626210856,15.967677387114495,15.829516146259923,15.487419362221994,3347.9779072506926,784.8520349345118,2671.130761359667,531.040798278972,174.47687120363466,361.70776348562424,1000.4614032980919,485.5473831491292,573.3300175068188,484.9337560858323,514.9140201489632,38.93861006810152,76.62188252128993
1964-07-01,34314.997,34307.64299999999,35750.946,55306.541000000005,17041.035,14580.880999999998,4061.6289999999995,51544.977999999996,1231.63,48133.604000000014,4216.926,6.143583226203918,0.0,0.0,8.919060692191124,0.4291400005235005,0.2625363422994269,0.25252443541394315,24.730758027107484,25.211129034719157,25.24817742993755,33.268290347437706,34.36545157278738,34.738322516410584,16.193225780610113,16.056806459734513,15.758032278860767,3368.012332003154,793.8257144772804,2692.862899330873,493.39545540707525,172.0154493043595,349.4548481822884,1020.8711079946704,500.2858314414567,576.3706303869483,487.97436896596173,520.5852765532145,41.287335225189096,76.42660126746878
1965-07-01,28266.280000000006,27920.50199999999,30299.134000000002,49063.78600000001,14082.814000000002,11266.350999999995,3475.4689999999996,45122.578,1197.536,41922.60500000001,3617.0480000000002,5.158374977111817,0.0,0.0,7.080454635620117,0.44050766939980124,0.2663137392570206,0.2579413212661166,24.73251610725157,25.21624192883891,25.273064514898486,33.217935519064625,34.337387109571885,34.70906444057342,16.247096775424097,16.095096785022363,15.83706454923076,3164.151571245996,755.2762686259508,2572.921520093908,460.453280633306,170.98974644622143,347.7390762176081,969.0389697442415,476.37485098259714,577.8714441534297,477.45554139768944,492.6641187616451,58.65420338994344,78.3895689333659
1966-07-01,29000.583000000002,27192.45299999999,29186.776,45606.259000000005,13614.043,11212.731999999995,3276.504999999999,46304.67,1189.678,43118.06200000001,3901.4420000000005,5.250500011444092,0.0,0.0,6.454212379455567,0.5188103136802852,0.4004251926242432,0.29096480827429333,24.84925803830547,25.299016097284127,25.333306466379476,33.297225829093684,34.36235483231083,34.732419290850245,16.40129033980831,16.235677448395755,15.93419358961044,3169.7917000362395,754.9690854752989,2571.40583821573,464.12566564457836,171.0352228449476,352.829234824587,956.234276140511,465.9517936833822,588.8980203962683,487.41194033759604,490.2824824571294,58.357456567921346,78.46892517443011
